schema: *key, $text

- Mod details
Mod.Description, "Этот мод предоставляет возможность путешествовать по заливу Илиак в реальном времени с ускорением."

- Settings
Settings.CautiousTravel.Name, "Осторожность"
Settings.CautiousTravel.Description, "Эта опция включает путешествие в реальном времени со штрафом за скорость, но с шансом избежать случайных встреч, основанным на удаче и скрытности, а также с контролем здоровья."
Settings.CautiousTravel.PlayerControlledCautiousTravel.Name, "Осторожное путешествие"
Settings.CautiousTravel.PlayerControlledCautiousTravel.Description, "Путешествие в реальном времени, вместо ванильного быстрого путешествия, начнется при включенной опции 'Осторожно'"
Settings.CautiousTravel.SpeedPenalty.Name, "Штраф к скорости"
Settings.CautiousTravel.SpeedPenalty.Description, "Штраф к скорости за осторожную езду, в процентах"
Settings.CautiousTravel.MaxChanceToAvoidEncounter.Name, "Шанс избежать столкновения"
Settings.CautiousTravel.MaxChanceToAvoidEncounter.Description, "Максимальный шанс избежать встречи при осторожном передвижении, в процентах"
Settings.CautiousTravel.HealthMinimumPercentage.Name, "Мин. здоровья"
Settings.CautiousTravel.HealthMinimumPercentage.Description, "Уровень здоровья, который автоматически приостанавливает путешествие в реальном времени, в процентах"
Settings.CautiousTravel.FatigueMinimumValue.Name, "Мин. усталости"
Settings.CautiousTravel.FatigueMinimumValue.Description, "Уровень усталости, который автоматически приостанавливает путешествие в реальном времени, абсолютное значение"
Settings.StopAtInnsTravel.Name, "Остановки в тавернах"
Settings.StopAtInnsTravel.Description, "Если эта опция включена, она полностью отключает обычное быстрое передвижение, за исключением плавания"
Settings.StopAtInnsTravel.PlayerControlledInnsTravel.Name, "Остановки в тавернах"
Settings.StopAtInnsTravel.PlayerControlledInnsTravel.Description, "Путешествие в реальном времени, вместо ванильного быстрого путешествия, начнется при включенной опции 'Ночь в трактирах'"
Settings.ShipTravel.Name, "Корабль"
Settings.ShipTravel.Description, "Конфигурация путешествий на корабле и потртовых городов"
Settings.ShipTravel.OnlyFromPorts.Name, "Только из порта"
Settings.ShipTravel.OnlyFromPorts.Description, "Путешествие на корабле возможно только из места с портом"
Settings.ShipTravel.OnlyToPorts.Name, "Только в порт"
Settings.ShipTravel.OnlyToPorts.Description, "Путешествие на корабле возможно только в место с портом, если включено 'Только из порта'"
Settings.GeneralOptions.Name, "Основные настройки"
Settings.GeneralOptions.Description, "Общие настройки путешествий. Для исследования мира можно путешествовать по любым координатам карты и автоматически приостанавливать путешествие, когда вы находитесь в локации или рядом с ней."
Settings.GeneralOptions.AllowTargetingMapCoordinates.Name, "Путешествие по координатам"
Settings.GeneralOptions.AllowTargetingMapCoordinates.Description, "Путешествие в реальном времени к любой выбранной точке на карте"
Settings.GeneralOptions.LocationPause.Name, "Пауза"
Settings.GeneralOptions.LocationPause.Description, "Приостанавливать путешествие в реальном времени при обнаружении локации"
Settings.GeneralOptions.AllowWeather.Name, "Погода"
Settings.GeneralOptions.AllowWeather.Description, "Вкл. погодные эффекты при путешествии в реальном времени"
Settings.GeneralOptions.AllowAnnoyingSounds.Name, "Звуки"
Settings.GeneralOptions.AllowAnnoyingSounds.Description, "Вкл. звук шагов и копыт при путешествии в реальном времени"
Settings.GeneralOptions.AllowRealGrass.Name, "Настоящая трава"
Settings.GeneralOptions.AllowRealGrass.Description, "Оставить мод Real Grass включенным при путешествии в реальном времени"
Settings.TimeAcceleration.Name, "Ускорение"
Settings.TimeAcceleration.Description, "Настройка ускорения времени"
Settings.TimeAcceleration.DefaultStartingAcceleration.Name, "Ускорение по-умолчанию"
Settings.TimeAcceleration.DefaultStartingAcceleration.Description, "Начальное значение ускорения при старте игры"
Settings.TimeAcceleration.AlwaysUseStartingAcceleration.Name, "Всегда использовать занчение по-умолчанию"
Settings.TimeAcceleration.AlwaysUseStartingAcceleration.Description, "При начале поездки использовать занчение по-умолчанию, а не значение из предыдущей поездки"
Settings.TimeAcceleration.AccelerationLimit.Name, "Предел ускорения"
Settings.TimeAcceleration.AccelerationLimit.Description, "Максимально возможное значение ускорения. Слежение за дорогой ограничено половиной этого значения"
Settings.Teleportation.Name, "Телепортация"
Settings.Teleportation.Description, "Телепортация Гильдии Магов доступна всем членам, не зависимо от ранга. Ранг 8 делает телепортацию бесплатной"
Settings.Teleportation.EnablePaidTeleportation.Name, "Телепортация"
Settings.Teleportation.EnablePaidTeleportation.Description, "Телепортация Гильдии Магов доступна всем членам"
Settings.__.Name, "__"
Settings.RoadsIntegration.Name, "Интеграция с Basic Roads"
Settings.RoadsIntegration.Description, "Настройки интеграции с модом Basic Roads"
Settings.RoadsIntegration.Enable.Name, "Включено"
Settings.RoadsIntegration.Enable.Description, "Рисовать дороги и тропы на карте мира (должно быть включено в Basic Roads)"
Settings.RoadsIntegration.VariableSizeDots.Name, "Разный размер локаций"
Settings.RoadsIntegration.VariableSizeDots.Description, "Все локации, кроме городов, отображены как точки"
Settings.RoadsIntegration.FollowPathsKey.Name, "Клавиша 'Слежение за дорогой'"
Settings.RoadsIntegration.FollowPathsKey.Description, "Клавиша для путешествии в реальном времени вдоль дорог, при включенной интеграции с Basic Roads"
Settings.RoadsIntegration.FollowPathsCustomKeyBind.Name, "Своя клавиша 'Слежение за дорогой'"
Settings.RoadsIntegration.FollowPathsCustomKeyBind.Description, "Задать свою клавишу, если настройка выше задана в CustomBind"
Settings.RoadsIntegration.EnableWaterways.Name, "Показать реки"
Settings.RoadsIntegration.EnableWaterways.Description, "Рисовать реки и ручьи на карте мира (должно быть включено в Basic Roads)"
Settings.RoadsIntegration.EnableStreamsToggle.Name, "Отключаемые реки"
Settings.RoadsIntegration.EnableStreamsToggle.Description, "Показать кнопки включения/выключения рек"
Settings.RoadsIntegration.MarkLocationColor.Name, "Цвет метки"
Settings.RoadsIntegration.MarkLocationColor.Description, "Цвет метки на карте при нажатии средней кнопки мыши"
Settings.-.Name, "-"
Settings.FastTravelCostScaling.Name, "Стоимость путешествия"
Settings.FastTravelCostScaling.Description, "Настройте стоимость обчного путешествия, если используете Climate & Calories или подобные моды"
Settings.FastTravelCostScaling.FastTravelCostScaleFactor.Name, "Стоимость быстрого перемещения"
Settings.FastTravelCostScaling.FastTravelCostScaleFactor.Description, "Множитель стоимости остановки на ночь в тверне, рекомендуется 4-6 для Climate & Calories."
Settings.FastTravelCostScaling.ShipTravelCostScaleFactor.Name, "Стоимость перемещения на корабле"
Settings.FastTravelCostScaling.ShipTravelCostScaleFactor.Description, "Множитель стоимости стандартного путешествия на корабле, рекомендуется 2-3 для Climate & Calories."
Settings._.Name, "_"
Settings.RoadsJunctionMap.Name, "Миникарта"
